word,rounds_last_met1,words_last_met1,time_last_met1,res_last_met1,rounds_last_met2,words_last_met2,time_last_met2,res_last_met2,rounds_last_met3,words_last_met3,time_last_met3,res_last_met3,rounds_last_met4,words_last_met4,time_last_met4,res_last_met4,rounds_last_met5,words_last_met5,time_last_met5,res_last_met5,res
nicht,47,11,162628.0,True,64,10,162702.0,True,67,10,162711.0,True,72,9,162757.0,True,74,8,162761.0,True,True
nicht,1,15,17.0,True,48,11,162645.0,True,65,10,162719.0,True,68,10,162728.0,True,73,8,162775.0,True,True
er,48,12,162629.0,True,56,12,162665.0,True,61,11,162685.0,False,194,100,162863.0,False,194,100,162863.0,False,True
die,35,15,162594.0,True,91,1,162828.0,False,195,100,162865.0,False,195,100,162865.0,False,195,100,162865.0,False,True
du,9,15,276.0,True,45,13,162618.0,True,69,12,162733.0,True,77,9,162787.0,True,90,3,162819.0,True,True
nicht,4,15,17.0,True,5,15,34.0,True,52,13,162661.0,True,69,13,162736.0,True,72,12,162745.0,True,True
nicht,1,15,48.0,True,5,15,65.0,True,6,15,82.0,True,53,13,162710.0,True,70,13,162784.0,True,True
ist,8,15,93.0,True,9,15,308.0,True,32,15,1682.0,True,35,15,1761.0,True,63,13,162736.0,True,True
ein,20,15,685.0,True,24,15,749.0,True,66,13,162745.0,True,200,100,162928.0,False,200,100,162928.0,False,True
es,29,15,1005.0,True,30,15,1024.0,True,40,13,162666.0,True,58,13,162728.0,True,59,13,162730.0,True,False
nicht,4,15,19.0,True,5,15,68.0,True,9,15,84.0,True,10,15,102.0,True,57,13,162729.0,True,True
sie,19,15,687.0,True,25,15,722.0,True,74,12,162793.0,True,81,11,162838.0,True,93,7,162886.0,True,True
er,10,15,85.0,True,58,13,162714.0,True,66,13,162750.0,True,71,13,162771.0,False,204,100,162948.0,False,True
ein,5,15,21.0,True,25,15,707.0,True,29,15,770.0,True,71,13,162767.0,True,205,100,162950.0,False,True
das,33,15,933.0,True,51,13,162694.0,True,52,13,162695.0,True,57,13,162707.0,True,99,5,162899.0,True,True
was,25,15,702.0,True,28,15,713.0,True,37,14,1100.0,True,38,14,1195.0,True,45,13,162672.0,True,True
der,20,15,348.0,True,22,15,692.0,True,34,15,867.0,True,40,13,1230.0,True,58,13,162708.0,True,True
